region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
93064,California,34.2619473,34.2259349,-118.6735908,-118.7179099,34.243686389599986,-118.70291378079996,1309.85,68,77.6,70.103092783505161,808,969,378,445,10398,86,12998,21.5,3249.5,274542.6224731445,395569.41810913087,136461.09864501952,168223.33284301756,4032234.7653747555,29728.52421875,5007031.2374450676,"[[0,12],[5,11],[10,6],[15,3],[20,4],[25,4],[30,4],[35,3],[40,1],[45,1],[50,1],[55,2],[60,1],[65,2],[80,1],[95,1],[105,1],[110,1],[115,1],[135,2],[145,1],[150,1],[180,1],[210,1],[295,1],[340,1]]",1365.0720489685766,0,POINT(-118.7029137808 34.2436863896)
93636,California,37.1932836,36.8496991,-119.7478294,-120.0253307,36.951135370215908,-119.88551000291324,1243.4882771713344,620,9.92309967465247,92.399403874813714,8146,14944,11243,12428,24237,86,70998,21.5,17749.5,2627587.2246032706,5749769.0753540071,3948948.6015319815,4359295.6490905769,9057870.776983643,31158.95676269531,25743471.32756348,"[[0,53],[5,67],[10,96],[15,66],[20,72],[25,72],[30,67],[35,40],[40,34],[45,11],[50,4],[55,7],[60,1],[65,3],[75,1],[80,3],[85,2],[90,2],[100,4],[105,2],[130,3],[150,1],[155,1],[160,1],[165,1],[215,1],[235,1],[245,1],[390,1],[510,1],[710,1]]",7018.4689262319507,29,POINT(-119.885510002913 36.9511353702159)
89009,Nevada,36.0410701,36.0337769,-114.9733782,-114.9797277,36.037595685,-114.97657586000004,1383.8,17,100,85,21,182,70,190,13974,90,14437,22.5,3609.25,7014.454833984375,79151.815722656247,24842.877886962891,78273.5575805664,5569848.7473510737,34890.467449951168,5759131.4533752464,"[[0,1],[5,1],[10,4],[15,1],[20,2],[35,1],[45,1],[50,1],[85,1],[280,1],[700,1],[705,1],[1565,1]]",2480.0719094761253,0,POINT(-114.97657586 36.037595685)
93944,California,36.6082511,36.5987085,-121.8955044,-121.9253557,36.6038627764706,-121.91190207899156,1228.25,111,100,93.277310924369743,280,4223,1892,3576,16251,90,26222,22.5,6555.5,85440.5403076172,1505010.5140258789,598091.22857666016,1230896.4096313477,5483491.26425171,30083.107031249998,8902929.9567932114,"[[0,10],[5,12],[10,11],[15,19],[20,10],[25,6],[30,7],[35,3],[40,2],[50,1],[55,1],[75,3],[80,2],[85,3],[90,1],[100,2],[105,1],[110,2],[120,2],[125,1],[155,1],[175,1],[185,2],[200,1],[250,1],[295,1],[310,1],[325,1],[340,1],[410,1],[530,1]]",2427.2149027264309,1,POINT(-121.911902078992 36.6038627764706)
90822,California,33.8102672,33.7633036,-118.1153082,-118.2445991,33.78170076571427,-118.14240430761895,1405.05,70,88.571428571428569,75.268817204301072,277,1530,376,753,20770,94,23706,23.5,5926.5,98648.166217041013,609301.30239868164,135604.87440795897,279082.89104003907,7719520.8766113259,33251.171063232418,8842158.1106750518,"[[0,14],[5,8],[10,2],[15,7],[20,4],[25,1],[35,1],[40,3],[45,1],[50,3],[55,2],[60,1],[65,2],[70,1],[80,3],[85,3],[100,1],[110,1],[120,1],[135,1],[145,1],[200,1],[220,2],[245,2],[290,1],[370,1],[695,1],[1170,1]]",2410.6466121434355,2,POINT(-118.142404307619 33.7817007657143)
93943,California,36.5993726,36.5937419,-121.8677798,-121.8776521,36.596706132608695,-121.8742460108695,1228.25,39,95.652173913043484,88.63636363636364,156,980,18,1072,10068,94,12294,23.5,3073.5,49915.111859130855,351594.5303161621,5647.3943969726561,386104.98416137689,3431085.8063354478,31517.391552734374,4224347.8270690907,"[[0,3],[5,7],[10,4],[15,3],[20,4],[25,1],[30,1],[50,1],[65,2],[70,1],[85,1],[125,1],[145,1],[150,1],[170,1],[175,1],[185,1],[195,1],[215,1],[300,1],[360,1],[380,1]]",1151.6882700327719,3,POINT(-121.874246010869 36.5967061326087)
91384,California,34.6329052,34.400136,-118.5870245,-118.7777914,34.477324254642468,-118.63119307319708,1405.05,32,0.53361792956243326,91.428571428571431,5,106,536,552,3104,98,4303,24.5,1075.75,1829.6096435546874,44451.955895996092,201239.1827758789,202107.91826171873,1216084.3134704591,37653.6884765625,1665712.9800476076,"[[0,4],[5,5],[10,2],[15,3],[20,2],[25,2],[30,2],[35,4],[40,3],[45,1],[50,1],[60,1],[90,1],[250,1]]",454.1250339447451,0,POINT(-118.631193073197 34.4773242546425)
92619,California,33.6695006,33.6678069,-117.7635188,-117.7668857,33.6686243,-117.76511063333331,1251.2,6,100,100,0,200,91,595,1842,102,2728,25.5,682,0,79016.110815429682,31431.197174072266,225023.80599365232,683994.88046875014,36846.560974121094,1019465.9944519043,"[[0,1],[5,1],[25,1],[115,1],[230,1],[300,1]]",277.93805708517237,1,POINT(-117.765110633333 33.6686243)
92249,California,32.7537487,32.7002873,-115.4355243,-115.5512929,32.733735590542331,-115.52994584742073,1370.2,9,0.59523809523809523,100,39,306,169,102,1904,110,2520,27.5,630,13493.898583984375,133233.46384887694,67084.5553955078,39046.972119140621,763381.91044921882,44386.612768554689,1016240.8003967284,"[[0,1],[5,1],[10,1],[20,1],[25,1],[30,1],[40,1],[45,1],[435,1]]",437.62679889002408,0,POINT(-115.529945847421 32.7337355905423)
92861,California,33.8316956,33.8025434,-117.7938187,-117.8269757,33.817501236776671,-117.81055558709816,1251.2,2254,99.099871410201459,97.491349480968864,36772,78497,53997,71795,22891,114,263952,28.5,65988,11780994.519616695,30898194.593084715,18834432.969073489,25909008.683648683,8469371.170349123,41318.75234375,95892001.935772762,"[[0,92],[5,153],[10,139],[15,194],[20,281],[25,357],[30,334],[35,261],[40,182],[45,114],[50,66],[55,42],[60,18],[65,4],[70,6],[100,1],[105,2],[110,1],[115,1],[140,1],[190,1],[205,1],[265,1],[305,1],[390,1]]",26143.134595053569,296,POINT(-117.810555587098 33.8175012367767)
94514,California,37.8961466,37.7476832,-121.5571923,-121.6981245,37.855809582809215,-121.6289400962264,1232.5,8,1.3626834381551363,61.53846153846154,140,228,127,241,41,114,777,28.5,194.25,44806.8233215332,85552.048022460935,42900.673522949219,80368.987084960929,14432.388439941406,40230.327343749996,268060.92039184569,"[[5,1],[10,1],[20,1],[25,2],[30,2],[35,1]]",73.081722980106292,0,POINT(-121.628940096226 37.8558095828092)
93042,California,34.1254694,34.0964417,-119.0988296,-119.1511257,34.1127433857143,-119.10902760680275,1309.85,92,69.387755102040813,90.196078431372555,748,1538,5638,5648,25425,118,38997,29.5,9749.25,245205.60200805662,618350.76400146482,2054153.9484863284,1971704.8489135744,9527768.6058166549,44588.60148925781,14417183.769226085,"[[0,11],[5,12],[10,3],[15,11],[20,3],[25,6],[30,4],[35,4],[40,1],[45,5],[55,2],[60,2],[65,2],[80,1],[85,1],[90,1],[95,1],[100,1],[115,1],[120,1],[135,2],[140,1],[160,1],[195,1],[200,1],[215,1],[230,1],[235,1],[245,1],[250,1],[275,1],[380,1],[395,1],[695,1],[755,1],[760,1],[1000,1],[1080,1]]",3930.5715612543845,0,POINT(-119.109027606803 34.1127433857143)
93721,California,36.7564476,36.7144006,-119.772755,-119.8054094,36.734134987390775,-119.7838881850812,1235.8999999999999,1389,95.068664169787766,91.201575837163489,26938,38705,20903,27336,309887,118,423769,29.5,105942.25,8952647.0994812027,15201086.626831053,7326358.2991821319,10139559.911206059,115482639.89808956,44393.087066650391,157102291.83479014,"[[0,129],[5,162],[10,144],[15,120],[20,73],[25,61],[30,49],[35,42],[40,36],[45,43],[50,30],[55,30],[60,29],[65,28],[70,29],[75,19],[80,26],[85,15],[90,17],[95,25],[100,12],[105,14],[110,19],[115,12],[120,10],[125,11],[130,12],[135,8],[140,7],[145,7],[150,11],[155,6],[160,6],[165,7],[170,7],[175,6],[180,3],[185,7],[190,2],[195,6],[200,2],[205,1],[210,5],[215,4],[220,3],[225,3],[230,1],[235,1],[245,4],[250,5],[255,3],[260,1],[265,3],[270,2],[275,2],[280,2],[285,1],[290,2],[300,3],[305,2],[310,1],[315,2],[320,1],[325,1],[330,1],[335,1],[340,1],[345,2],[350,1],[360,3],[375,1],[380,1],[390,1],[395,3],[400,1],[405,2],[410,1],[430,4],[450,1],[455,1],[465,1],[470,1],[480,2],[485,1],[495,1],[505,1],[535,1],[555,1],[560,1],[565,2],[600,1],[605,1],[655,1],[700,2],[730,1],[750,1],[770,1],[790,1],[970,1],[1105,1],[1145,1],[1180,1],[1460,1],[1630,1],[2195,1],[2335,1]]",42830.95855459576,23,POINT(-119.783888185081 36.7341349873908)
97209,Oregon,45.5420894,45.5226722,-122.6707977,-122.6953661,45.528661781669847,-122.68601225259123,850,897,95.969289827255281,89.7,8475,15679,9924,12282,177661,118,224021,29.5,56005.25,1926925.851055908,4160193.4855865482,2330453.5467956536,3022425.1030578609,44564841.685116589,28744.400714111329,56004839.671612568,"[[0,71],[5,125],[10,90],[15,56],[20,60],[25,46],[30,50],[35,33],[40,30],[45,25],[50,27],[55,24],[60,18],[65,16],[70,18],[75,10],[80,16],[85,15],[90,12],[95,3],[100,11],[105,5],[110,7],[115,3],[120,5],[125,4],[130,6],[135,5],[140,5],[145,7],[150,3],[155,3],[165,5],[170,1],[175,5],[180,6],[185,5],[190,2],[195,3],[200,4],[205,1],[210,1],[215,5],[220,4],[230,1],[235,1],[240,3],[245,2],[255,4],[270,1],[275,2],[280,1],[290,2],[300,1],[305,2],[310,2],[320,1],[325,1],[330,2],[355,2],[370,2],[385,2],[405,1],[425,1],[430,1],[435,1],[455,1],[490,1],[500,1],[510,1],[520,1],[530,1],[590,1],[630,1],[1015,1],[1130,1]]",14892.15413827974,12,POINT(-122.686012252591 45.5286617816698)
90089,California,34.0622976,34.0152161,-118.19889,-118.2913911,34.030355328915661,-118.26426670722894,1405.05,148,95.783132530120483,93.081761006289312,20,5021,3088,780,36484,148,45393,37,11348.25,6516.5594482421875,2029340.5908752438,1149402.2924255372,280247.31249389646,13599507.677239981,54207.630224609376,17065014.432482913,"[[0,7],[5,19],[10,10],[15,12],[20,8],[25,6],[30,7],[35,11],[40,3],[45,5],[50,4],[55,5],[60,3],[65,6],[70,2],[75,3],[80,1],[85,2],[90,1],[95,1],[100,1],[105,2],[110,3],[120,2],[125,2],[130,2],[140,1],[145,1],[150,2],[160,1],[170,1],[180,1],[185,1],[220,3],[270,1],[275,1],[305,1],[320,1],[485,1],[550,1],[585,1],[665,1],[735,1]]",4652.452343979081,1,POINT(-118.264266707229 34.0303553289157)
